             MOBIL     IBM       WEYER    CITCRP    MARKET   RKFREE
 1978.01    -0.046    -0.029    -0.116    -0.115    -0.045   0.00487
 1978.02    -0.017    -0.043    -0.135    -0.019     0.010   0.00494
 1978.03     0.049    -0.063     0.084     0.059     0.050   0.00526
 1978.04     0.077     0.130     0.144     0.127     0.063   0.00491
 1978.05    -0.011    -0.018    -0.031     0.005     0.067   0.00513
 1978.06    -0.043    -0.004     0.005     0.007     0.007   0.00527
 1978.07     0.028     0.092     0.164     0.032     0.071   0.00528
 1978.08     0.056     0.049     0.039     0.088     0.079   0.00607
 1978.09     0.064    -0.051    -0.021     0.011     0.002   0.00645
 1978.10    -0.069    -0.046    -0.090    -0.071    -0.189   0.00685
 1978.11     0.037     0.031    -0.033    -0.005     0.084   0.00719
 1978.12     0.041     0.108    -0.034    -0.019     0.015   0.00690
 1979.01     0.061     0.034     0.203     0.043     0.058   0.00761
 1979.02    -0.002    -0.017    -0.038    -0.082     0.011   0.00761
 1979.03     0.029     0.052     0.097     0.026     0.123   0.00769
 1979.04     0.079    -0.004    -0.069     0.000     0.026   0.00764
 1979.05    -0.086    -0.022    -0.013     0.022     0.014   0.00772
 1979.06     0.088    -0.035     0.053     0.095     0.075   0.00715
 1979.07     0.018    -0.049     0.000    -0.075    -0.013   0.00728
 1979.08     0.111     0.016     0.165     0.065     0.095   0.00789
 1979.09     0.180    -0.032    -0.015    -0.017     0.039   0.00802
 1979.10    -0.031    -0.079    -0.083    -0.125    -0.097   0.00913
 1979.11     0.051     0.060    -0.065     0.030     0.116   0.00819
 1979.12     0.063    -0.013     0.104     0.113     0.086   0.00747
 1980.01     0.075     0.066     0.069    -0.079     0.124   0.00883
 1980.02     0.366    -0.062     0.033    -0.080     0.112   0.01073
 1980.03    -0.176    -0.122    -0.129    -0.069    -0.243   0.01181
 1980.04     0.119    -0.016     0.027     0.048     0.080   0.00753
 1980.05     0.003     0.025     0.089     0.104     0.062   0.00630
 1980.06    -0.024     0.061    -0.026     0.058     0.086   0.00503
 1980.07     0.054     0.111     0.140    -0.023     0.065   0.00602
 1980.08    -0.059     0.017    -0.041     0.029     0.025   0.00731
 1980.09     0.007    -0.021    -0.064    -0.068     0.015   0.00860
 1980.10     0.059     0.039     0.017    -0.049     0.006   0.00895
 1980.11     0.193     0.035     0.015     0.123     0.092   0.01137
 1980.12    -0.081    -0.004     0.007     0.131    -0.056   0.00977
 1981.01    -0.082    -0.052     0.028    -0.062    -0.014   0.01092
 1981.02    -0.067     0.011     0.025    -0.005    -0.009   0.01096
 1981.03    -0.042    -0.029     0.088     0.045     0.067   0.01025
 1981.04    -0.025    -0.060    -0.050     0.086    -0.008   0.01084
 1981.05    -0.092     0.017    -0.031     0.099     0.064   0.01255
 1981.06     0.053    -0.015     0.021    -0.013    -0.003   0.01128
 1981.07     0.021    -0.030    -0.081    -0.019    -0.033   0.01154
 1981.08    -0.057    -0.002    -0.061    -0.108    -0.031   0.01169
 1981.09    -0.106    -0.018    -0.113     0.032    -0.164   0.01054
 1981.10     0.025    -0.048    -0.020     0.052     0.062   0.01003
 1981.11     0.038     0.075     0.179     0.045     0.069   0.00816
 1981.12    -0.090     0.044    -0.072    -0.028    -0.039   0.00740
 1982.01    -0.016     0.119    -0.079     0.035    -0.079   0.00949
 1982.02    -0.016    -0.014     0.014     0.000    -0.101   0.00946
 1982.03    -0.038    -0.034    -0.009     0.007    -0.028   0.01067
 1982.04    -0.011     0.075     0.059     0.101     0.041   0.00972
 1982.05     0.092    -0.029    -0.086    -0.101     0.003   0.00908
 1982.06    -0.038    -0.014    -0.015    -0.003    -0.078   0.00914
 1982.07    -0.073     0.082    -0.012    -0.025    -0.006   0.00714
 1982.08     0.157     0.087     0.221     0.077     0.122   0.00503
 1982.09     0.043     0.041    -0.029     0.059     0.008   0.00563
 1982.10     0.020     0.089     0.150     0.318     0.136   0.00620
 1982.11    -0.040     0.094     0.141     0.007     0.049   0.00614
 1982.12     0.069     0.113    -0.040    -0.098     0.014   0.00648
 1983.01     0.055     0.027     0.023     0.085     0.065   0.00646
 1983.02     0.009     0.010     0.065     0.039     0.028   0.00599
 1983.03     0.095     0.028    -0.023     0.132     0.043   0.00686
 1983.04     0.091     0.150     0.091     0.104     0.097   0.00652
 1983.05    -0.052    -0.041    -0.067    -0.102     0.080   0.00649
 1983.06     0.077     0.081    -0.013    -0.016     0.048   0.00673
 1983.07    -0.060     0.001    -0.071    -0.079    -0.017   0.00714
 1983.08     0.118     0.001    -0.011    -0.007    -0.034   0.00668
 1983.09    -0.050     0.062    -0.033     0.006     0.000   0.00702
 1983.10    -0.032    -0.001    -0.046    -0.118    -0.082   0.00678
 1983.11    -0.033    -0.066     0.151     0.162     0.066   0.00683
 1983.12     0.009     0.039    -0.069     0.023    -0.012   0.00693
 1984.01     0.084    -0.065    -0.039     0.024    -0.029   0.00712
 1984.02     0.024    -0.026    -0.093    -0.039    -0.030   0.00672
 1984.03    -0.028     0.034     0.094    -0.054     0.003   0.00763
 1984.04     0.029    -0.002    -0.088    -0.004    -0.003   0.00741
 1984.05    -0.146    -0.044    -0.087    -0.148    -0.058   0.00627
 1984.06     0.010    -0.019     0.019     0.078     0.005   0.00748
 1984.07    -0.092     0.047     0.036    -0.029    -0.058   0.00771
 1984.08     0.261     0.127     0.055     0.164     0.146   0.00852
 1984.09     0.013     0.004    -0.069     0.076     0.000   0.00830
 1984.10     0.014     0.012     0.035    -0.027    -0.035   0.00688
 1984.11    -0.042    -0.023     0.032     0.000    -0.019   0.00602
 1984.12    -0.052     0.011     0.026     0.098    -0.001   0.00612
 1985.01     0.053     0.108     0.084     0.097     0.097   0.00606
 1985.02     0.071    -0.009    -0.016    -0.015     0.012   0.00586
 1985.03     0.000    -0.052    -0.081     0.046     0.008   0.00650
 1985.04     0.027    -0.004     0.003     0.012    -0.010   0.00601
 1985.05     0.029     0.025     0.031     0.094     0.019   0.00512
